prospect_id,business_name,website,vertical,market,site_quality_score,site_quality_band,confidence,opportunity_score,verdict,offer,tier_reached,next_action
osm:node/357370908,Hortense T. Moss Health Center,http://www.philau.edu/healthservices/,doctor,PHL,11,broken,0.91,72,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/2581148178,Gallo Insurance Agency,https://www.galloinsuranceagency.com/,insurance,PHL,30,decayed,0.91,66,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/2635582256,Snyder Online Marketing,https://www.snyderonlinemarketing.com/,advertising-agency,PHL,32,decayed,0.91,58,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/2986118466,The Fontana Group,https://thefontanagrp.com/,accountant,PHL,71,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/3012244583,Trend Eye Care,https://www.trendeyecare.com/,optician,PHL,68,dated,0.91,28,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/3103172317,Center City Veterinary Hospital,https://www.centercityvet.com/,veterinary,PHL,72,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/3527097893,Modern Eye,https://www.modern-eye.com/,optician,PHL,67,dated,0.91,28,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4124474075,"Mt. Airy Pediatrics, P.C.",https://www.mtairypediatrics.com/,doctor,PHL,11,broken,0.91,72,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/4411243629,Edelstein Martin & Nelson,https://law-pa.com/,lawyer,PHL,72,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/4563068267,Law Offices Of Eugene P Tinari,https://www.etinarilaw.com/,lawyer,PHL,61,dated,0.91,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4643596137,"Jeffrey S. Lichtman, LLC",https://www.socialsecuritydisabilityclaim.net/,lawyer,PHL,24,broken,0.36,63,enrich,undecided,0,Confidence 36% is too low to route. Run the Tier 1 rendered audit.
osm:node/5159389368,The Hughes Firm,https://www.philadelphiacriminallawyers.pro/,lawyer,PHL,47,decayed,0.91,49,nurture,low-cost touch only,0,Bad site but opportunity 49 < build floor 55 — not worth a build slot
osm:node/5282930817,Pearl Dental,https://www.pearldentalphilly.com/,dentist,PHL,,ungraded,0.16,84,enrich,undecided,0,"Re-audit: no usable evidence. Check the URL, then run Tier 1 (rendered) audit."
osm:node/5364574970,Scheie Eye Institute,https://www.pennmedicine.org/providers/practice/scheie-eye-institute-penn-presbyterian,clinic,PHL,48,decayed,0.91,37,nurture,low-cost touch only,0,Bad site but opportunity 37 < build floor 55 — not worth a build slot
osm:node/5394160041,Bay Property Management Group Philadelphia,https://www.baymgmtgroup.com/philadelphia/,estate-agent,PHL,75,unconfirmed,0.91,32,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5498624657,Fellerman & Ciarimboli,https://fellermanlaw.com/,lawyer,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/5530483280,Linc Electric Inc,https://lincelectricpa.com/,electrician,PHL,72,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5574997224,Munley Law,https://munley.com/philadelphia/,lawyer,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5887341267,Perry Milou Studios,https://perrymilou.com/,painter,PHL,58,dated,0.91,43,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/5892433747,"CGF Insurance, Inc.",https://www.cgfinsurepa.com/,insurance,PHL,69,dated,0.91,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/6489650790,Mole Street,https://molestreet.com/,advertising-agency,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/6883997584,U.S. Renal Care,https://www.usrenalcare.com/location/philadelphia/,clinic,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/7071622034,Coleman and Turner Dental Associates,https://centercitydentists.com/,dentist,PHL,69,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
