priority,cluster,cluster_rank,keyword,target_route,intent,us_monthly_volume,keyword_difficulty,cpc_usd,semrush_relevance,serp_features,opportunity_score,data_source,researched_on
"1","website design services","1","website design services","/web-design/","C","14800","67","12.14","100","6","88.61","SEMrush Keyword Magic Tool, US database","2026-08-25"
"2","website design services","2","web design services","/web-design/","C","18100","61","10.29","81","7","82.83","SEMrush Keyword Magic Tool, US database","2026-08-25"
"3","website design services","3","web design company","/web-design/","C","33100","64","12.96","69","9","79.14","SEMrush Keyword Magic Tool, US database","2026-08-25"
"4","website design services","4","website design company","/web-design/","C","18100","59","12.96","69","7","78.29","SEMrush Keyword Magic Tool, US database","2026-08-25"
"5","website design services","5","website design and development services","/web-design/","C","2400","48","11.47","69","8","74.02","SEMrush Keyword Magic Tool, US database","2026-08-25"
"6","website design services","6","web design service","/web-design/","C","3600","76","12.14","77","6","71.79","SEMrush Keyword Magic Tool, US database","2026-08-25"
"7","website design services","7","web design","/web-design/","I","74000","85","9.69","69","7","71.68","SEMrush Keyword Magic Tool, US database","2026-08-25"
"8","website design services","8","website design service","/web-design/","C","2400","73","12.14","78","8","71.55","SEMrush Keyword Magic Tool, US database","2026-08-25"
"9","website design services","9","web design company services","/web-design/","C","320","43","11.23","73","8","69.96","SEMrush Keyword Magic Tool, US database","2026-08-25"
"10","website design services","10","web design solutions","/web-design/","C","390","50","5.98","75","6","69.74","SEMrush Keyword Magic Tool, US database","2026-08-25"
"11","website design services","11","website design","/web-design/","I","60500","90","9.69","69","6","69.73","SEMrush Keyword Magic Tool, US database","2026-08-25"
"12","website design services","12","professional website design services","/web-design/","C","880","70","15.04","79","7","69.24","SEMrush Keyword Magic Tool, US database","2026-08-25"
"13","website design services","13","professional web design company","/web-design/","C","1300","62","11.15","71","5","69.23","SEMrush Keyword Magic Tool, US database","2026-08-25"
"14","website design services","14","web design & development services","/web-design/","C","1000","56","13.58","69","6","68.98","SEMrush Keyword Magic Tool, US database","2026-08-25"
"15","website design services","15","web design and development services","/web-design/","I","1900","45","11.47","69","7","68.96","SEMrush Keyword Magic Tool, US database","2026-08-25"
"16","website design services","16","best website design services","/web-design/","C","590","52","11.40","70","6","68.57","SEMrush Keyword Magic Tool, US database","2026-08-25"
"17","website optimization","1","website optimization","/web-design-optimization/","I","6600","55","12.28","100","6","83.81","SEMrush Keyword Magic Tool, US database","2026-08-25"
"18","website optimization","2","website speed consultant","/web-design-optimization/","I","260","21","0.00","68","4","67.64","SEMrush Keyword Magic Tool, US database","2026-08-25"
"19","website optimization","3","web optimization","/web-design-optimization/","I","1000","52","9.60","73","7","66.66","SEMrush Keyword Magic Tool, US database","2026-08-25"
"20","website optimization","4","optimized website","/web-design-optimization/","I","590","44","9.60","71","8","65.99","SEMrush Keyword Magic Tool, US database","2026-08-25"
"21","website optimization","5","pagespeed mobile","/web-design-optimization/","I","480","41","0.00","68","5","64.77","SEMrush Keyword Magic Tool, US database","2026-08-25"
"22","website optimization","6","web site optimization","/web-design-optimization/","I","390","55","12.85","78","7","64.75","SEMrush Keyword Magic Tool, US database","2026-08-25"
"23","website optimization","7","google site page speed","/web-design-optimization/","I
C","210","53","6.27","68","2","63.9","SEMrush Keyword Magic Tool, US database","2026-08-25"
"24","website optimization","8","what is website optimization","/web-design-optimization/","I","260","53","5.33","76","7","63","SEMrush Keyword Magic Tool, US database","2026-08-25"
"25","website optimization","9","web page optimization","/web-design-optimization/","I","590","64","9.40","75","5","62.67","SEMrush Keyword Magic Tool, US database","2026-08-25"
"26","website optimization","10","website design optimization","/web-design-optimization/","I","90","36","17.03","72","6","61.91","SEMrush Keyword Magic Tool, US database","2026-08-25"
"27","website optimization","11","website optimizing","/web-design-optimization/","I","90","45","12.85","77","8","61.76","SEMrush Keyword Magic Tool, US database","2026-08-25"
"28","website optimization","12","google website speed","/web-design-optimization/","N","210","42","0.00","68","5","61.65","SEMrush Keyword Magic Tool, US database","2026-08-25"
"29","website optimization","13","optimization of websites","/web-design-optimization/","I","140","52","11.30","76","6","61.11","SEMrush Keyword Magic Tool, US database","2026-08-25"
"30","website optimization","14","homepage optimization","/web-design-optimization/","I","260","54","0.00","72","7","61.07","SEMrush Keyword Magic Tool, US database","2026-08-25"
"31","website optimization","15","website page optimization","/web-design-optimization/","I","90","50","9.40","78","6","60.93","SEMrush Keyword Magic Tool, US database","2026-08-25"
"32","website optimization","16","google website speed test","/web-design-optimization/","C","2400","99","4.33","68","4","60.85","SEMrush Keyword Magic Tool, US database","2026-08-25"
"33","technical seo services","1","technical seo services","/technical-seo/","I","6600","28","9.18","100","4","90.56","SEMrush Keyword Magic Tool, US database","2026-08-25"
"34","technical seo services","2","technical seo consultant","/technical-seo/","I","2900","19","15.26","74","5","79.03","SEMrush Keyword Magic Tool, US database","2026-08-25"
"35","technical seo services","3","technical seo experts","/technical-seo/","C","1000","17","31.44","67","5","77.89","SEMrush Keyword Magic Tool, US database","2026-08-25"
"36","technical seo services","4","technical seo agency","/technical-seo/","I","4400","27","16.49","71","4","77.22","SEMrush Keyword Magic Tool, US database","2026-08-25"
"37","technical seo services","5","technical seo consultants","/technical-seo/","I","1300","21","72.12","74","5","75.74","SEMrush Keyword Magic Tool, US database","2026-08-25"
"38","technical seo services","6","technical seo service","/technical-seo/","I","1900","39","9.18","80","4","75.08","SEMrush Keyword Magic Tool, US database","2026-08-25"
"39","technical seo services","7","technical seo company","/technical-seo/","I","1300","22","59.93","66","4","72.13","SEMrush Keyword Magic Tool, US database","2026-08-25"
"40","technical seo services","8","technical seo specialists","/technical-seo/","I","390","28","26.75","78","6","71.5","SEMrush Keyword Magic Tool, US database","2026-08-25"
"41","technical seo services","9","technical seo consulting","/technical-seo/","I","880","21","0.00","67","5","71.45","SEMrush Keyword Magic Tool, US database","2026-08-25"
"42","technical seo services","10","technical seo agencies","/technical-seo/","I","720","26","15.18","71","5","71.18","SEMrush Keyword Magic Tool, US database","2026-08-25"
"43","technical seo services","11","technical seo expert","/technical-seo/","I","1900","40","19.31","68","6","69.79","SEMrush Keyword Magic Tool, US database","2026-08-25"
"44","technical seo services","12","technical seo consultancy","/technical-seo/","I","590","26","15.26","69","6","69.65","SEMrush Keyword Magic Tool, US database","2026-08-25"
"45","technical seo services","13","technical seo services agency","/technical-seo/","I","170","24","25.50","71","8","66.68","SEMrush Keyword Magic Tool, US database","2026-08-25"
"46","technical seo services","14","technical seo companies","/technical-seo/","I","140","25","70.58","73","6","66.6","SEMrush Keyword Magic Tool, US database","2026-08-25"
