Date,Primary Asset or Capture,Series,Pillar,Primary Platforms,Native Adaptation,CTA,Status
2026-07-16,"New phone video: hook 1, CMO who made a rap album",Delusion Diary,The Why,"TikTok; Instagram Reels; YouTube Shorts","LinkedIn text plus native video; X clip","Comment which track you want to hear first. IF NOT NOW, WHEN.",Needs Dillon capture
2026-07-17,asset-studio/out/tracklist.png,Album Map,The Split,"Instagram Feed; Facebook; X","LinkedIn image with the double life story","Join the list for first listens. IF NOT NOW, WHEN.",Ready after link check
2026-07-18,"Three story frames: poll, preview, question box",Listener Choice,The Sound,"Instagram Stories; Facebook Stories","Use the winning poll answer to choose tomorrow's preview","Vote for the next preview. IF NOT NOW, WHEN.",Needs scheduling
2026-07-19,"New phone video: King Keev first listen or friendship story",First Listen,The Why,"TikTok; Instagram Reels; YouTube Shorts","X still plus quote; Facebook native video","Tag the friend who was there before anybody listened. IF NOT NOW, WHEN.",Needs Dillon and Keev capture
2026-07-20,asset-studio/out/motion/descent-notepad.mp4,The Record Waited,The Making,"TikTok; Instagram Reels; YouTube Shorts","Add Dillon voiceover about recording in 2023 and sitting on it","Join the list for the previews. IF NOT NOW, WHEN.",Needs voiceover
2026-07-21,asset-studio/out/split/split-02.png,Session Log,The Split,"Instagram Carousel; Facebook","X image; Threads caption","Which half of the split do you know me from. IF NOT NOW, WHEN.",Ready after caption rewrite
2026-07-22,"New phone video: hook 2, almost 29 and starting to rap",Delusion Diary,The Why,"TikTok; Instagram Reels; YouTube Shorts","LinkedIn native video framed around starting late","Tell me if this is brave or delusional. IF NOT NOW, WHEN.",Needs Dillon capture
2026-07-23,"Erie or 814 footage plus asset-studio/out/motion/descent-814.mp4",814 Blood,The 814,"TikTok; Instagram Reels; YouTube Shorts","Facebook to Erie network; X location thread","Send this to somebody from the 814. IF NOT NOW, WHEN.",Needs location footage
2026-07-24,asset-studio/out/carousel-1.png,The Delusion Has Coordinates,The Why,"Instagram Carousel; Facebook","LinkedIn document carousel using all five slides","Save this if you ever started late. IF NOT NOW, WHEN.",Ready
2026-07-25,reference/photos/birthday-28-daughter.jpeg,Why Now,The Why,"Instagram Feed; Facebook; Threads","X photo plus short confession","Join the list if you are done waiting too. IF NOT NOW, WHEN.",Ready after personal caption approval
2026-07-26,"20 minute live: the album story and audience questions",Sunday Session,The Why,"Instagram Live; TikTok Live if eligible","Cut three highlights for the next week","Ask me anything about the double life. IF NOT NOW, WHEN.",Needs Dillon live
2026-07-27,"New phone video: a family member or friend hears a preview",First Listen,The Sound,"TikTok; Instagram Reels; YouTube Shorts","Facebook native video","Comment the exact moment the reaction changed. IF NOT NOW, WHEN.",Needs capture
2026-07-28,asset-studio/out/split/split-04.png,Session Log,The Making,"Instagram Feed; Facebook; X","Story quiz about the track","Pick the next track preview. IF NOT NOW, WHEN.",Ready after caption rewrite
2026-07-29,"New phone video: people at work do not know this account exists",Delusion Diary,The Split,"TikTok; Instagram Reels; YouTube Shorts","LinkedIn native video with a more professional first line","Follow the experiment from day one. IF NOT NOW, WHEN.",Needs Dillon capture
