prospect_id,business,address,phone,market,vertical,qr_target_url,qa_ready,mail_ready,approved_by,mailed_on,scanned,call_booked,email,emailed_on,replied,bounced,notes
RADAR-NEXT20-015,A W Miller Technical Sales,"Harmony, Pennsylvania",,Butler County,hardware,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-003,api Autobody Products,"Bradford, Pennsylvania",,McKean County,car-parts,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-002,Avalon Flooring,"King of Prussia, Pennsylvania",,Montgomery County,flooring,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-007,Bedford Carpet One Floor & Home,"Bedford, Pennsylvania",,Bedford County,flooring,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-012,China Moon,"Boyertown, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-019,Compass Financial Solutions - Financial planner,"Havertown, Pennsylvania",,Delaware County,financial,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-008,Dental Wellness,"Phoenixville, Pennsylvania",,Chester County,dentist,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-014,Friendly Tax Advisors,"Philadelphia, Pennsylvania",,Philadelphia,tax-advisor,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-016,JB Motor Works,"Philadelphia, Pennsylvania",,Philadelphia,car-repair,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-013,JL Alliance Group,"Cheltenham, Pennsylvania",,Montgomery County,insurance,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-018,John Holroyd Agency,"Warminster, Pennsylvania",,Bucks County,insurance,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-009,Jonathan Stone D.M.D,"Wayne, Pennsylvania",,Delaware County,dentist,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-010,Keyes Water Wells,"Frazer, Pennsylvania",,Chester County,construction-company,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-006,Mazzoni Center,"Philadelphia, Pennsylvania",,Philadelphia,clinic,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-020,Panitch Schwarze Belisario & Nadel,"Philadelphia, Pennsylvania",,Philadelphia,lawyer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-011,Positano Ristorante,"Ardmore, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-001,Rambo Orthodontics,"Lansdale, Pennsylvania",,Montgomery County,doctor,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-017,"Rubin, Glickman, Steinberg & Gifford, P.C.","Newtown, Pennsylvania",,Bucks County,lawyer,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-004,The Sprowls Insurance Group,"Westmoreland County, Pennsylvania",,Westmoreland County,insurance,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
RADAR-NEXT20-005,Veekoo,"Royersford, Pennsylvania",,Montgomery County,restaurant,,hold,hold,,,,,,,,,Generator concept copy is still in the first viewport
