prospect_id,business_name,batch,vertical,url_graded,state,signal,band,confidence,viability,lane,priority,pitch_website,outreach_eligible,why,top_gap_1,top_gap_2,top_gap_3,graded_at,expires
PHL-B1-bartram-garden,Bartram's Garden,B1,arts-culture,https://www.bartramsgarden.org/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","No marquee, blink, or jQuery-era carousel: jQuery slow animation",main/header/nav landmarks or skip link: no semantic landmarks,"Clear primary CTA near the top: 4 button-styled links, no CTA copy",2026-08-06,2026-11-04
PHL-B1-dibruno-bros,Di Bruno Bros. Italian Market,B1,retail,https://dibruno.com/,live,77,solid,1,35,adjacent,0,false,false,"SIGNAL 77 — site is solid, the gap is elsewhere","Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,HTML document under 150KB: 1889KB HTML document,2026-08-06,2027-02-02
PHL-B1-eastern-state,Eastern State Penitentiary,B1,arts-culture,https://easternstate.org/,live,69,solid,0.92,35,adjacent,0,false,false,"SIGNAL 69 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 9 images, none modern-format or responsive",Phone number is a tel: link: no phone number on the page,2026-08-06,2027-02-02
PHL-B1-fantes-kitchen-shop,Fante's Kitchen Shop,B1,retail,https://fantes.com/,live,75,solid,1,35,adjacent,0,false,false,"SIGNAL 75 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 45 images, none modern-format or responsive","Custom properties, grid/flex, fluid type: only flex",2026-08-06,2027-02-02
PHL-B1-frankford-hall,Frankford Hall,B1,restaurant,https://frankfordhall.com/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","Modern formats, srcset, no GIF photography: 10 images, none modern-format or responsive","Phone number is a tel: link: phone is text only, not tappable",Meta description present and sized: meta description 193 chars,2026-08-06,2027-02-02
PHL-B1-franklin-fountain,Franklin Fountain,B1,restaurant,https://franklinfountain.com/,blocked,28,weak,0.95,35,manual,0,,false,Bot wall blocked the grade — could be an excellent site,"Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B1-genos-steaks,Geno's Steaks,B1,restaurant,https://www.genosteaks.com/,live,91,excellent,0.95,35,hands_off,0,false,false,SIGNAL 91 — already an excellent site,"JSON-LD parses with a business type: JSON-LD present (WebPage, ImageObject, BreadcrumbList, WebSite) but no business type",Hours published on the page: no hours on the page,"Fewer than 15 scripts, none blocking: 46 external scripts, 37 blocking",2026-08-06,2027-02-02
PHL-B1-good-dog-bar,Good Dog Bar,B1,restaurant,https://gooddogbar.com/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","JSON-LD parses with a business type: JSON-LD present (WebPage, BreadcrumbList, WebSite) but no business type",Meta description present and sized: no meta description,"Modern formats, srcset, no GIF photography: 6 responsive, no webp/avif",2026-08-06,2027-02-02
PHL-B1-isgro-pastries,Isgro Pastries,B1,bakery,https://www.isgropastries.com/,live,88,excellent,1,35,hands_off,0,false,false,SIGNAL 88 — already an excellent site,"Modern formats, srcset, no GIF photography: 21 responsive, no webp/avif","One h1, real h2 structure: no h1","Fewer than 15 scripts, none blocking: 38 external scripts, 7 blocking",2026-08-06,2027-02-02
PHL-B1-johnny-brendas,Johnny Brenda's,B1,restaurant,https://johnnybrendas.com/,live,84,excellent,1,35,hands_off,0,false,false,SIGNAL 84 — already an excellent site,HTML document under 150KB: 567KB HTML,"Modern formats, srcset, no GIF photography: 5 responsive, no webp/avif","One h1, real h2 structure: no h1",2026-08-06,2027-02-02
PHL-B1-johns-roast-pork,John's Roast Pork,B1,restaurant,https://johnsroastpork.com/,live,73,solid,1,35,adjacent,0,false,false,"SIGNAL 73 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,2026-08-06,2027-02-02
PHL-B1-la-colombe-rittenhouse,"La Colombe Coffee Roasters, Rittenhouse Square",B1,cafe,https://www.lacolombe.com/,live,77,solid,1,35,adjacent,0,false,false,"SIGNAL 77 — site is solid, the gap is elsewhere","Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,HTML document under 150KB: 640KB HTML document,2026-08-06,2027-02-02
PHL-B1-magic-gardens,Philadelphia's Magic Gardens,B1,arts-culture,https://www.phillymagicgardens.org/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","Phone number is a tel: link: phone is text only, not tappable","Modern formats, srcset, no GIF photography: 5 responsive, no webp/avif",Clear primary CTA near the top: CTA exists but buried,2026-08-06,2027-02-02
PHL-B1-moms-organic-market,"MOM's Organic Market, Center City",B1,retail,https://momsorganicmarket.com/,blocked,28,weak,0.95,35,manual,0,,false,Bot wall blocked the grade — could be an excellent site,"Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B1-morris-arboretum,Morris Arboretum,B1,arts-culture,https://www.morrisarboretum.org/,live,76,solid,0.95,35,adjacent,0,false,false,"SIGNAL 76 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Phone number is a tel: link: phone is text only, not tappable",Meta description present and sized: meta description 37 chars,2026-08-06,2027-02-02
PHL-B1-pats-king-steaks,Pat's King of Steaks,B1,restaurant,https://www.patskingofsteaks.com/,live,76,solid,1,35,adjacent,0,false,false,"SIGNAL 76 — site is solid, the gap is elsewhere",Phone number is a tel: link: no phone number on the page,JSON-LD parses with a business type: JSON-LD present (WebSite) but no business type,Meta description present and sized: meta description 372 chars,2026-08-06,2027-02-02
PHL-B1-philadelphia-record-exchange,Philadelphia Record Exchange,B1,retail,,social-only,,,,35,enrich,25,,false,"Social profile only, no site of their own — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B1-reading-terminal,Reading Terminal Market,B1,retail,https://readingterminalmarket.org/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","No marquee, blink, or jQuery-era carousel: jQuery-era slider","Phone number is a tel: link: phone is text only, not tappable","Custom properties, grid/flex, fluid type: only custom properties, aspect-ratio",2026-08-06,2026-11-04
PHL-B1-reanimator-coffee,ReAnimator Coffee,B1,cafe,https://www.reanimatorcoffee.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,"No Flash, framesets, or pre-2013 jQuery: document.write",2026-08-06,2026-11-04
PHL-B1-square-1682,Square 1682,B1,restaurant,https://www.square1682.com/,live,64,dated,0.95,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Modern formats, srcset, no GIF photography: 7 images, none modern-format or responsive","Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,2026-08-06,2026-11-04
PHL-B1-standard-tap,Standard Tap,B1,restaurant,https://standardtap.com/,js-shell,44,weak,0.95,35,manual,0,,false,"Client-rendered site: static HTML is not the page, needs a render pass","Modern formats, srcset, no GIF photography: 6 images, none modern-format or responsive","Name, address, phone as selectable text: no phone or address as selectable text","Responsive viewport meta: viewport ""initial-scale=1"" is not device-width",2026-08-06,2026-11-04
PHL-B1-suraya,Suraya,B1,restaurant,https://www.surayaphilly.com/,live,83,excellent,1,35,hands_off,0,false,false,SIGNAL 83 — already an excellent site,"Phone number is a tel: link: phone is text only, not tappable","Real page title, not a template default: title 78 chars, truncates in results",Meta description present and sized: meta description 269 chars,2026-08-06,2027-02-02
PHL-B1-termini-bros,Termini Bros.,B1,bakery,https://termini.com/,live,84,excellent,1,35,hands_off,0,false,false,SIGNAL 84 — already an excellent site,"Real page title, not a template default: title 97 chars, truncates in results",HTML document under 150KB: 499KB HTML,Meta description present and sized: meta description 245 chars,2026-08-06,2027-02-02
PHL-B1-victor-cafe,Victor Cafe,B1,restaurant,https://victorcafe.com/,blocked,32,weak,0.95,35,manual,0,,false,Bot wall blocked the grade — could be an excellent site,"Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B1-zahav,Zahav,B1,restaurant,https://www.zahavrestaurant.com/,js-shell,68,solid,1,35,manual,0,,false,"Client-rendered site: static HTML is not the page, needs a render pass","Name, address, phone as selectable text: no phone or address as selectable text",Phone number is a tel: link: no phone number on the page,"Real page title, not a template default: title only 5 chars",2026-08-06,2026-11-04
PHL-B2-academy-chiropractic-center,Academy Chiropractic Center,B2,chiropractic,https://www.academychiropracticcenter.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Not a parked page, ADI default, or coming-soon: Wix ADI default",First byte under 1200ms: 6029ms to first byte,"Modern formats, srcset, no GIF photography: 13 responsive, no webp/avif",2026-08-06,2026-11-04
PHL-B2-acupuncture-medical-practice,Acupuncture Medical Practice,B2,physical-therapy,https://acupuncturephilly.com/,live,85,excellent,1,35,hands_off,0,false,false,SIGNAL 85 — already an excellent site,"Phone number is a tel: link: phone is text only, not tappable","Modern formats, srcset, no GIF photography: 19 responsive, no webp/avif",Clear primary CTA near the top: CTA exists but buried,2026-08-06,2027-02-02
PHL-B2-bridesburg-spine-and-injury-clinic,Bridesburg Spine and Injury Clinic,B2,physical-therapy,https://www.bridesburgchiro.com/,live,87,excellent,1,35,hands_off,0,false,false,SIGNAL 87 — already an excellent site,"Modern formats, srcset, no GIF photography: 5 images, none modern-format or responsive",HTML document under 150KB: 758KB HTML document,"Clear primary CTA near the top: 9 button-styled links, no CTA copy",2026-08-06,2027-02-02
PHL-B2-bustleton-services,Bustleton Services,B2,medical,https://www.bustletonservices.com/,live,78,solid,1,35,adjacent,0,false,false,"SIGNAL 78 — site is solid, the gap is elsewhere","Phone number is a tel: link: phone is text only, not tappable",JSON-LD parses with a business type: JSON-LD present (WebSite) but no business type,HTML document under 150KB: 463KB HTML,2026-08-06,2027-02-02
PHL-B2-dependable-concrete,Dependable Concrete,B2,concrete,https://dependableconcrete.com/,live,37,weak,0.95,35,enrich,15,,false,"SIGNAL 37 — weak site, but ability to pay is unknown","Custom properties, grid/flex, fluid type: no modern CSS features found",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all",2026-08-06,2026-11-04
PHL-B2-e-and-e-cleaning,E and E Cleaning,B2,cleaning,https://www.eandecleaning.com/,js-shell,64,dated,1,35,manual,0,,false,"Client-rendered site: static HTML is not the page, needs a render pass","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default",300+ words of genuine body copy: 104 words,2026-08-06,2026-11-04
PHL-B2-farrells-roofing,Farrells Roofing,B2,roofing,https://www.farrellsroofingphiladelphia.com/,live,72,solid,1,35,adjacent,0,false,false,"SIGNAL 72 — site is solid, the gap is elsewhere",HTML document under 150KB: 649KB HTML document,First byte under 1200ms: 4776ms to first byte,"Custom properties, grid/flex, fluid type: only custom properties, grid",2026-08-06,2027-02-02
PHL-B2-greater-philadelphia-chiropractic-center,Greater Philadelphia Chiropractic Center,B2,chiropractic,https://www.philadelphiachiropractic.net/,live,64,dated,0.95,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","No marquee, blink, or jQuery-era carousel: jQuery-era slider","Modern formats, srcset, no GIF photography: 2/3 images are GIFs","Real page title, not a template default: title 104 chars, truncates in results",2026-08-06,2026-11-04
PHL-B2-hal-rosenthaler-dmd,Hal Rosenthaler DMD,B2,dental,https://halrosenthalerdmd.com/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","Phone number is a tel: link: phone is text only, not tappable","JSON-LD parses with a business type: JSON-LD present (WebPage, BreadcrumbList, WebSite) but no business type",Meta description present and sized: no meta description,2026-08-06,2027-02-02
PHL-B2-lawrence-kassan-podiatry,Lawrence Kassan Podiatry,B2,podiatry,https://www.philadelphiafeet.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 9 images, none modern-format or responsive","Responsive viewport meta: viewport ""initial-scale=1, minimum-scale=1, maximum-scale=5, viewport-fit=cover"" is not device-width",2026-08-06,2026-11-04
PHL-B2-marthas-sophisticated-shine,Marthas Sophisticated Shine,B2,cleaning,https://sophisticatedshine.com/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","Custom properties, grid/flex, fluid type: only flex, aspect-ratio","Modern formats, srcset, no GIF photography: 4 responsive, no webp/avif","Name, address, phone as selectable text: only phone + name as text",2026-08-06,2027-02-02
PHL-B2-mayfair-family-chiropractic,Mayfair Family Chiropractic,B2,chiropractic,https://www.mayfairchiro.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 1021KB HTML document,2026-08-06,2026-11-04
PHL-B2-mayfair-fence,Mayfair Fence,B2,fence,https://www.mayfairfence.com/,live,68,solid,0.92,35,adjacent,0,false,false,"SIGNAL 68 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 16 images, none modern-format or responsive","Phone number is a tel: link: phone is text only, not tappable",2026-08-06,2027-02-02
PHL-B2-metro-physical-medicine,Metro Physical Medicine,B2,physical-therapy,https://metrophysicalmedicine.com/,live,79,solid,0.97,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","JSON-LD parses with a business type: JSON-LD present (WebPage, ImageObject, BreadcrumbList, WebSite) but no business type",Meta description present and sized: meta description 235 chars,"Modern formats, srcset, no GIF photography: 9 responsive, no webp/avif",2026-08-06,2027-02-02
PHL-B2-moss-contracting,Moss Contracting,B2,construction,https://mosscontractingllc.com/,live,90,excellent,1,35,hands_off,0,false,false,SIGNAL 90 — already an excellent site,"Modern formats, srcset, no GIF photography: 7 responsive, no webp/avif",Clear primary CTA near the top: CTA exists but buried,Real hero: h1 plus a lead image or video: h1 but no lead image,2026-08-06,2027-02-02
PHL-B2-northeast-family-foot-care,Northeast Family Foot Care,B2,podiatry,https://www.northeastfamilyfootcare.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Real page title, not a template default: title 80 chars, truncates in results","Not a parked page, ADI default, or coming-soon: Wix ADI default","Modern formats, srcset, no GIF photography: 4 responsive, no webp/avif",2026-08-06,2026-11-04
PHL-B2-oxford-rehabilitation-center,Oxford Rehabilitation Center,B2,physical-therapy,https://www.oxfordrehab.com/,live,88,excellent,1,35,hands_off,0,false,false,SIGNAL 88 — already an excellent site,"Modern formats, srcset, no GIF photography: 4 webp/avif, no srcset",Clear primary CTA near the top: CTA exists but buried,"Fewer than 15 scripts, none blocking: 27 external scripts, 0 blocking",2026-08-06,2027-02-02
PHL-B2-patriot-fence-and-ironworks,Patriot Fence and Ironworks,B2,fence,https://www.patriotfenceandironworks.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default","Form, booking embed, or contact page: no form, booking, or contact page",2026-08-06,2026-11-04
PHL-B2-philly-medical-and-rehab-associates,Philly Medical and Rehab Associates,B2,physical-therapy,https://www.mypmra.com/,dead,,,,35,enrich,25,,false,"Domain on file does not resolve or serve a page — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B2-pt-in-philly,PT IN Philly,B2,physical-therapy,https://www.ptinphilly.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 680KB HTML document,2026-08-06,2026-11-04
PHL-B2-rhi-construction,Rhi Construction,B2,construction,https://www.rhihomes.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 990KB HTML document,Meta description present and sized: meta description 364 chars,2026-08-06,2026-11-04
