Date,Time,Platform,Pillar,Type,Asset,Caption,Hashtags
2026-07-13,18:00,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-notepad.mp4,"Picking Up My Notepad. no words this time, just let the beat ride. this is what the whole world of the album feels like. sound on.",#immohrtal #newmusic #undergroundrap #pittsburghrap #eriepa
2026-07-14,12:00,IG Feed,The Making,Feed,asset-studio/out/split/split-02.png,"every track gets its own waveform. this is Picking Up My Notepad, start to finish, on paper and in the booth. TRK 02.",#immohrtal #dancewiththedelusional #rap #waveform
2026-07-15,18:30,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-814.mp4,"814 Blood. the 814 is Erie, that area code is in me. me and King Keev on this one. turn it up.",#immohrtal #eriepa #814 #pittsburghrap #undergroundrap
2026-07-17,12:00,"IG Feed, X",The Split,Feed,asset-studio/out/tracklist.png,eleven tracks. Dance With The Delusional. made it at night while the day job ran loud. here is the whole thing laid out.,#immohrtal #newalbum #rap #dancewiththedelusional
2026-07-18,11:00,IG Story,The Making,Story,asset-studio/out/story-notepad.png,swipe up when it drops. previews are already up on the site.,
2026-07-20,18:00,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-mothersbaby.mp4,My Mothers Baby. one of the most honest ones on here. beat only for now. you feel me.,#immohrtal #undergroundrap #sadrap #pittsburgh
2026-07-21,12:00,IG Feed,The Making,Feed,asset-studio/out/split/split-04.png,"My Mothers Baby, TRK 04. the shape of the whole song in one picture.",#immohrtal #waveform #rap #dancewiththedelusional
2026-07-22,18:30,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-rollthedice.mp4,"Roll the Dice. this one moves different. sound on, let it hit.",#immohrtal #undergroundrap #newmusic #pittsburghrap
2026-07-24,12:00,IG Carousel,The Why,Carousel,asset-studio/out/split/split-05.png,how a kid from a cold lake town ended up making this. Erie to Pittsburgh. the whole story in five. swipe.,#immohrtal #eriepa #pittsburgh #macmiller #rapstory
2026-07-25,11:00,IG Story,The Split,Story,asset-studio/out/story-rollthedice.png,CMO by day. this by night. same guy.,
2026-07-27,18:00,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-myownway.mp4,My Own Way. had to do it my own way or not at all. beat preview. full thing soon.,#immohrtal #undergroundrap #newmusic #ifnotnowwhen
2026-07-28,12:00,IG Feed,The Making,Feed,asset-studio/out/split/split-06.png,"My Own Way, TRK 06. paper on top, booth on the bottom, signal blue tying it together.",#immohrtal #waveform #rap
2026-07-29,18:30,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-gradealove.mp4,Grade A Love. softer side of the record. let it play.,#immohrtal #rnbrap #undergroundrap #pittsburgh
2026-07-31,12:00,"IG Feed, X",The Why,Feed,asset-studio/out/split/split-08.png,"almost 29. probably should have done this years ago. doing it now anyway. Grade A Love, TRK 08. if not now, when.",#immohrtal #ifnotnowwhen #rap #pittsburgh
2026-08-01,11:00,IG Story,The Making,Story,asset-studio/out/story-gradealove.png,the list gets the first listens. link in bio.,
2026-08-03,18:00,"IG Reels, TikTok, Shorts",The Sound,Reel,asset-studio/out/motion/descent-onmyway.mp4,On My Way. me and Keev again. sunniest one on the album. sound on and ride with it.,#immohrtal #undergroundrap #summer #pittsburghrap
2026-08-04,12:00,IG Feed,The Split,Feed,asset-studio/out/banner-x.png,"IMMOHRTAL. Erie made me, Pittsburgh raised the dream. everything lives at the link.",#immohrtal #pittsburgh #eriepa #rap
2026-08-06,12:00,IG Feed,The Why,Feed,asset-studio/out/story-onmyway.png,Mac made me believe a person like me could do this and mean it. this whole thing is me trying to earn that. On My Way.,#immohrtal #macmiller #pittsburgh #undergroundrap
