prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
RN10001,Advanced Air Services LLC,Philadelphia metro / South-Central PA,hvac,advanced-air-services,https://radar-next10-2026-09-02.netlify.app/sites/advanced-air-services/,https://radar-next10-2026-09-02.netlify.app/sites/advanced-air-services/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10001,https://www.heatingandcoolingwaynesboropa.com/,FAIL,skipped,hold,hold,11,384,19
RN10002,B & M Construction & Hvac LLC,Philadelphia metro / South-Central PA,hvac,b-and-m-construction-hvac,https://radar-next10-2026-09-02.netlify.app/sites/b-and-m-construction-hvac/,https://radar-next10-2026-09-02.netlify.app/sites/b-and-m-construction-hvac/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10002,https://bmconstructionhvac.com/,FAIL,skipped,hold,hold,11,417,19
RN10003,Bradco Heating and Cooling,Philadelphia metro / South-Central PA,hvac,bradco-heating-and-cooling,https://radar-next10-2026-09-02.netlify.app/sites/bradco-heating-and-cooling/,https://radar-next10-2026-09-02.netlify.app/sites/bradco-heating-and-cooling/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10003,https://www.bradcocoolingandheatingpa.com/,FAIL,skipped,hold,hold,11,401,19
RN10004,"Casey Williams, DMD",Philadelphia metro / South-Central PA,dentist,casey-williams-dmd,https://radar-next10-2026-09-02.netlify.app/sites/casey-williams-dmd/,https://radar-next10-2026-09-02.netlify.app/sites/casey-williams-dmd/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10004,http://www.caseywilliamsdental.com/index.html,FAIL,skipped,hold,hold,11,366,19
RN10005,Colonial Animal Hospital,Philadelphia metro / South-Central PA,veterinary,colonial-animal-hospital,https://radar-next10-2026-09-02.netlify.app/sites/colonial-animal-hospital/,https://radar-next10-2026-09-02.netlify.app/sites/colonial-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10005,http://www.colonialnewtownsquare.com/,FAIL,skipped,hold,hold,11,398,19
RN10006,Germantown Dental Group,Philadelphia metro / South-Central PA,dentist,germantown-dental-group,https://radar-next10-2026-09-02.netlify.app/sites/germantown-dental-group/,https://radar-next10-2026-09-02.netlify.app/sites/germantown-dental-group/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10006,http://germantowndental.us/,FAIL,skipped,hold,hold,11,386,19
RN10007,JT1 Electric Inc.,Philadelphia metro / South-Central PA,electrician,jt1-electric,https://radar-next10-2026-09-02.netlify.app/sites/jt1-electric/,https://radar-next10-2026-09-02.netlify.app/sites/jt1-electric/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10007,http://jt1electricinc.com/,FAIL,skipped,hold,hold,11,404,19
RN10008,Lee's Hoagie House,Philadelphia metro / South-Central PA,restaurant,lees-hoagie-house,https://radar-next10-2026-09-02.netlify.app/sites/lees-hoagie-house/,https://radar-next10-2026-09-02.netlify.app/sites/lees-hoagie-house/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10008,http://www.leeshoagieshorsham.com/,FAIL,skipped,hold,hold,11,366,19
RN10009,Pearl Dental,Philadelphia metro / South-Central PA,dentist,pearl-dental,https://radar-next10-2026-09-02.netlify.app/sites/pearl-dental/,https://radar-next10-2026-09-02.netlify.app/sites/pearl-dental/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10009,https://www.pearldentalphilly.com/,FAIL,skipped,hold,hold,11,370,19
RN10010,Udis & Conn Orthodontics,Philadelphia metro / South-Central PA,dentist,udis-conn-orthodontics,https://radar-next10-2026-09-02.netlify.app/sites/udis-conn-orthodontics/,https://radar-next10-2026-09-02.netlify.app/sites/udis-conn-orthodontics/?utm_source=directmail&utm_medium=qr&utm_campaign=radar-next10-2026-09-02&utm_content=RN10010,http://www.udisandconnorthodontics.com/,FAIL,skipped,hold,hold,11,388,19
