prospect_id,business_name,website,vertical,market,site_quality_score,site_quality_band,confidence,opportunity_score,verdict,offer,tier_reached,next_action
built:1,Geno's Steaks,https://www.genosteaks.com/,Restaurant,PHL,64,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:2,Pat's King of Steaks,https://www.patskingofsteaks.com/,Restaurant,PHL,67,dated,0.91,43,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:3,Di Bruno Bros. Italian Market,https://dibruno.com/,Specialty Foods,PHL,65,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:4,Termini Brothers Bakery,https://termini.com/,Bakery,PHL,70,unconfirmed,0.91,48,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:5,Isgro Pastries,https://www.isgropastries.com/,Bakery,PHL,72,unconfirmed,0.91,46,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:6,John's Roast Pork,https://johnsroastpork.com/,Restaurant,PHL,55,dated,0.91,51,nurture,low-cost touch only,0,Bad site but opportunity 51 < build floor 55 — not worth a build slot
built:7,Franklin Fountain,https://franklinfountain.com/,Ice Cream & Sweets,PHL,60,dated,0.91,48,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:8,Zahav,https://www.zahavrestaurant.com/,Restaurant,PHL,68,dated,0.91,49,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:9,Standard Tap,https://standardtap.com/,Gastropub,PHL,63,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:10,"La Colombe Coffee Roasters, Rittenhouse Square",https://www.lacolombe.com/pages/cafes/south-station,Coffee Roaster,PHL,68,dated,0.91,49,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:11,Frankford Hall,https://frankfordhall.com/,Beer Garden,PHL,66,dated,0.91,45,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:12,Johnny Brenda's,https://johnnybrendas.com/,Restaurant & Music,PHL,72,unconfirmed,0.91,40,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:13,Suraya,https://www.surayaphilly.com/,Restaurant,PHL,72,unconfirmed,0.91,46,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:14,ReAnimator Coffee,https://www.reanimatorcoffee.com/,Coffee,PHL,65,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:15,Victor Cafe,https://victorcafe.com/,Restaurant,PHL,58,dated,0.91,55,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:16,Morris Arboretum & Gardens,https://www.morrisarboretum.org/,Botanical Garden,PHL,64,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:17,Eastern State Penitentiary,https://easternstate.org/,Historic Site,PHL,58,dated,0.91,55,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:18,Philadelphia's Magic Gardens,https://www.phillymagicgardens.org/,Arts & Culture,PHL,68,dated,0.91,49,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:19,Bartram's Garden,https://www.bartramsgarden.org/,Botanical Garden,PHL,73,unconfirmed,0.91,46,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:20,Reading Terminal Market,https://readingterminalmarket.org/,Public Market,PHL,69,dated,0.91,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:21,Fante's Kitchen Shop,https://fantes.com/,Kitchenware,PHL,64,dated,0.91,45,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:23,"MOM's Organic Market, Center City",https://momsorganicmarket.com/pennsylvania/center-city/,Natural Grocery,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:24,Good Dog Bar,https://gooddogbar.com/,Bar & Restaurant,PHL,71,unconfirmed,0.91,42,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:25,Square 1682,https://www.square1682.com/,Restaurant,PHL,57,dated,0.91,49,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:26,Academy Chiropractic Center,https://www.academychiropracticcenter.com/,Medical & Healthcare,PHL,66,dated,0.91,54,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:27,Acupuncture Medical Practice,https://acupuncturephilly.com/,Medical & Healthcare,PHL,64,dated,0.91,60,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:28,Bridesburg Spine and Injury Clinic,https://www.bridesburgchiro.com/,Medical & Healthcare,PHL,71,unconfirmed,0.91,51,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:29,"Bustleton Services, Inc",https://www.bustletonservices.com/,Home Services,PHL,69,dated,0.91,57,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:30,Dependable Concrete Contractor LLC,https://dependableconcrete.com/,Home Services,PHL,75,unconfirmed,0.91,54,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:31,E & E Cleaning Services,https://www.eandecleaning.com/,Home Services,PHL,66,dated,0.91,60,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
built:32,Farrell's Roofing,https://www.farrellsroofingphiladelphia.com/,Home Services,PHL,71,unconfirmed,0.91,57,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
built:33,Greater Philadelphia Chiropractic Center,https://www.philadelphiachiropractic.net/,Medical & Healthcare,PHL,69,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
