prospect_id,business,market,vertical,slug,site_url,qr_target_url,source_url,qa,visual_qa,qa_ready,mail_ready,spec_sections,spec_words,spec_images
PHL001,Balance Studios,"Philadelphia, PA",spa-wellness,balance-studios,https://phl-2026-w33b.netlify.app/sites/balance-studios/,https://phl-2026-w33b.netlify.app/sites/balance-studios/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL001,https://www.balancestudios.net/,PASS,ran,hold,hold,11,457,13
PHL002,"Boyle Energy - Heating, Air Conditioning, Oil & Propane","Philadelphia, PA",home-services,boyle-energy-heating-air-conditioning-oil-and-propane,https://phl-2026-w33b.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-and-propane/,https://phl-2026-w33b.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-and-propane/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL002,https://boylebrothersenergy.com/,PASS,ran,ready,hold,11,436,13
PHL003,Captain Car Wash,"Philadelphia, PA",auto,captain-car-wash,https://phl-2026-w33b.netlify.app/sites/captain-car-wash/,https://phl-2026-w33b.netlify.app/sites/captain-car-wash/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL003,https://captaincarwashpa.com/,PASS,ran,hold,hold,11,364,13
PHL004,Chestnut Hill Animal Hospital,"Philadelphia, PA",medical,chestnut-hill-animal-hospital,https://phl-2026-w33b.netlify.app/sites/chestnut-hill-animal-hospital/,https://phl-2026-w33b.netlify.app/sites/chestnut-hill-animal-hospital/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL004,http://chestnuthillvet.com/,PASS,ran,ready,hold,11,360,12
PHL005,Custom IT Solutions,"Philadelphia, PA",legal,custom-it-solutions,https://phl-2026-w33b.netlify.app/sites/custom-it-solutions/,https://phl-2026-w33b.netlify.app/sites/custom-it-solutions/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL005,https://customitsolutions.com/,PASS,ran,ready,hold,11,395,12
PHL006,Electric Direct,"Philadelphia, PA",home-services,electric-direct,https://phl-2026-w33b.netlify.app/sites/electric-direct/,https://phl-2026-w33b.netlify.app/sites/electric-direct/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL006,https://www.electric-direct.net/,PASS,ran,hold,hold,11,368,12
PHL007,Ember & Ale,"Philadelphia, PA",food,ember-and-ale,https://phl-2026-w33b.netlify.app/sites/ember-and-ale/,https://phl-2026-w33b.netlify.app/sites/ember-and-ale/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL007,https://emberandale.com/,PASS,ran,ready,hold,11,462,13
PHL008,Golden Sea,"Philadelphia, PA",food,golden-sea,https://phl-2026-w33b.netlify.app/sites/golden-sea/,https://phl-2026-w33b.netlify.app/sites/golden-sea/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL008,http://goldenseabluebell.com/,PASS,ran,ready,hold,11,383,12
PHL009,Heart & Soul Tattoo,"Philadelphia, PA",spa-wellness,heart-and-soul-tattoo,https://phl-2026-w33b.netlify.app/sites/heart-and-soul-tattoo/,https://phl-2026-w33b.netlify.app/sites/heart-and-soul-tattoo/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL009,https://heartandsoultattoos.com/,PASS,ran,ready,hold,11,366,12
PHL010,Home Furnishings Consignment,"Philadelphia, PA",retail,home-furnishings-consignment,https://phl-2026-w33b.netlify.app/sites/home-furnishings-consignment/,https://phl-2026-w33b.netlify.app/sites/home-furnishings-consignment/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL010,http://www.hfconsignment.com/,PASS,ran,ready,hold,11,486,13
PHL011,Johnny's Pizza,"Philadelphia, PA",food,johnny-s-pizza,https://phl-2026-w33b.netlify.app/sites/johnny-s-pizza/,https://phl-2026-w33b.netlify.app/sites/johnny-s-pizza/?utm_source=directmail&utm_medium=qr&utm_campaign=phl-2026-w33b&utm_content=PHL011,http://johnnysitaliano.com/,PASS,ran,hold,hold,11,382,13
