day,date,theme,platforms,image,caption_short,cta_url,hashtags
01,2026-08-01,Case open,"IG,X,FB",generated/01-case-017-file-open.jpg,"The file was never supposed to open cleanly.",https://ironicineptocracy.com/dossier,"#TheIronicIneptocracy #Case017 #PoliticalThriller"
02,2026-08-02,Darnell intro,"IG,X",generated/02-darnell-harvard-surveillance.jpg,"Meet Darnell Covington. File BI-01.",https://ironicineptocracy.com/characters/darnell-covington,"#TheIronicIneptocracy #Bookstagram #DarnellCovington"
03,2026-08-03,Irony thesis,"X,LI",generated/03-quote-exactly-as-intended.jpg,"Parts of it work exactly as intended.",https://ironicineptocracy.com,,"#TheIronicIneptocracy #SatiricalFiction"
04,2026-08-04,Javon intro,"IG,TikTok",generated/04-javon-field-after-rain.jpg,"Javon Whitfield remembers Darnell before he becomes a file.",https://ironicineptocracy.com/characters/javon-whitfield,"#TheIronicIneptocracy #JavonWhitfield"
05,2026-08-05,Friendship,"IG,FB",generated/05-darnell-javon-campus-dusk.jpg,"Propaganda loves isolation. Friendship as evidence.",https://ironicineptocracy.com/characters,,
06,2026-08-06,Alec intro,"IG,X",generated/06-alec-langley-corridor.jpg,"Alec Daheim begins as an instrument.",https://ironicineptocracy.com/characters/alec-daheim,"#TheIronicIneptocracy #CIAThriller"
07,2026-08-07,CTA Friday,All,generated/07-cta-garnier-dossier.jpg,"Open the Garnier Dossier.",https://ironicineptocracy.com/dossier,"#TheIronicIneptocracy"
08,2026-08-08,Freedom invoice,"IG,X",generated/08-freedom-invoice-past-due.jpg,"Freedom invoice — status PAST DUE.",https://ironicineptocracy.com,,
09,2026-08-09,Darnell theme,"X,IG",generated/09-darnell-inventory-desk.jpg,"Excellence makes him easier to locate.",https://ironicineptocracy.com/characters/darnell-covington,,
10,2026-08-10,World map,"IG,FB",generated/10-world-pressure-map-board.jpg,"Every stop makes Darnell pay a little more.",https://ironicineptocracy.com/world,,
11,2026-08-11,Javon humor,"TikTok,IG",generated/11-javon-diner-joke-dies.jpg,"When Javon jokes the jokes are not filler.",https://ironicineptocracy.com/characters/javon-whitfield,,
12,2026-08-12,McNulty tease,"X,IG",references/mcnulty.png,"Collapse that sounds procedural.",https://ironicineptocracy.com/characters/ronald-mcnulty,,
13,2026-08-13,Donor channel,"IG,LI",generated/12-donor-channel-glass-reflection.jpg,"Just get it done and the money is yours.",https://ironicineptocracy.com/characters/dijon-garnier,,
14,2026-08-14,Midpoint CTA,All,generated/13-access-granted-envelope.jpg,"Nine names public. Rest sealed until the book.",https://ironicineptocracy.com/dossier,,
15,2026-08-15,Trio night,"IG,FB",generated/14-trio-morning-after-walk.jpg,"Three files. One very bad year.",https://ironicineptocracy.com,,
16,2026-08-16,Draft vs acceptance,"X,IG",generated/15-draft-vs-acceptance-desk.jpg,"America had another test waiting.",https://ironicineptocracy.com,,
17,2026-08-17,Alec remorse,IG,generated/16-alec-rain-window-remorse.jpg,"Can he outlive the damage he carried?",https://ironicineptocracy.com/characters/alec-daheim,,
18,2026-08-18,Dispatch drop,All,generated/01-case-017-file-open.jpg,"Dispatch 01: The File Opens.",https://ironicineptocracy.com/dispatches/the-file-opens,,
19,2026-08-19,Javon instincts,"X,TikTok",generated/17-javon-lobby-smells-the-lie.jpg,"He smells the lie before it finishes dressing.",https://ironicineptocracy.com,,
20,2026-08-20,Propaganda,"IG,X",generated/18-make-america-obedient-poster.jpg,"Slogan as diagnosis. Filing instruction.",https://ironicineptocracy.com,,
21,2026-08-21,Weekend CTA,All,generated/13-access-granted-envelope.jpg,"Classified reader file. Dispatches only.",https://ironicineptocracy.com/dossier,,
22,2026-08-22,Character carousel,IG,generated/19-cast-files-triptych.jpg,"Cast files · early access roster.",https://ironicineptocracy.com/characters,,
23,2026-08-23,Author note,"LI,FB",references/og.jpg,"Satire that starts sounding like a diagnosis.",https://ironicineptocracy.com,,
24,2026-08-24,Control room,"IG,X",generated/20-trio-control-room.jpg,"Rooms smaller than the consequences.",https://ironicineptocracy.com,,
25,2026-08-25,Body count tease,X,generated/08-freedom-invoice-past-due.jpg,"119 are now dead.",https://ironicineptocracy.com,,
26,2026-08-26,Friendship still,IG,generated/05-darnell-javon-campus-dusk.jpg,"Not a sidekick. Another intelligence.",https://ironicineptocracy.com,,
27,2026-08-27,Sealed evidence,"IG,FB",generated/06-alec-langley-corridor.jpg,"File D-09. Langley route.",https://ironicineptocracy.com/characters/alec-daheim,,
28,2026-08-28,Pre-launch pulse,All,generated/14-trio-morning-after-walk.jpg,"36 chapters. Four continents. One bad year.",https://ironicineptocracy.com,,
29,2026-08-29,Reader question,"X,IG",generated/02-darnell-harvard-surveillance.jpg,"Excellence as inventory — what would you do?",https://ironicineptocracy.com/dossier,,
30,2026-08-30,Close the month,All,generated/07-cta-garnier-dossier.jpg,"The door is open. The file is not clean.",https://ironicineptocracy.com/dossier,"#TheIronicIneptocracy #DebutNovel"
